                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10398      5.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups                          runtime_minutes                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                            xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7888543819998317E+003                  5.0000000000000000E+000                 -9.8999999999999986E+001                  3.2525749891599527E+000                                     1098                  1.0224424345669698E+000                  2.0341555865229560E-001                  7.8130382774774361E-008                  9.9999999987728150E-001                  9.9999999960457486E-001                  2.1330848205418235E-001                  7.8130382774774361E-008                  9.9999999987728150E-001                  9.9999999960457486E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0537809755327150E+032                  1.9714025444553899E+033                  2.0756304237794170E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6670625097749290E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7732369293944332E+000                 -3.3674970005515156E+001                 -9.8999999999999986E+001                  2.7732369293944332E+000                  4.2328041663968019E+000                  5.5279365198681910E+002                  2.7425630471683760E+000                  4.2893202724320922E-001                  4.2789953032627253E+000                  1.9010577205625214E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4358444679596030E+000                  1.3205834193715387E+000                  1.6890725873801152E+001                  6.2044638469101032E-001                  8.4949887608732821E-001                  6.9899742467338521E-001                  2.8044241703083173E-001                  4.9082365162420865E-005                  9.3104819488882412E-003                  3.4416106108119998E-003                  9.3604466091399795E-003                  3.4987742760900562E+000                  1.4003741026292147E+000                  1.3912433131712829E+000                  2.7548308525553926E+000                 -3.3674970005515156E+001                 -2.6159446206436039E-009                                        0                                        0                  2.8333333333333335E-003                  1.0000000000000000E+000                  1.7888543819998317E+003                  9.9999526510718795E-001                  1.0375662329993931E+001                  3.5009790530147063E+002                  1.7504895265073532E+002                  3.3283892160661774E+000                  4.5653353924047835E+000                 -1.9332625700137748E-001                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.5144937260981150E+053                 -7.0299833936055746E+036                 -6.6010580154341856E+036                 -4.2892537817138912E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      10                  4.6436302246991843E+004                  5.0000000000000000E+000                 -9.8999999999999986E+001                  3.9652062035885765E+000                                     1030                  1.0312187579817143E+000                  2.0506381499510984E-001                  7.8130380498642182E-008                  9.9999999987337496E-001                  9.9999999960724573E-001                  2.0624375159634287E-001                  7.8130380498642182E-008                  9.9999999987337496E-001                  9.9999999960724573E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7182248942808456E+032                  1.9326888313009013E+033                  2.1388414830818422E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6387255042038341E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7326565576637809E+000                 -3.3712633393364705E+001                 -1.2944289813551190E+001                  2.7326565576637809E+000                  4.2306059790624744E+000                  5.3639635373469412E+002                  2.7294858169829093E+000                  4.2678978681913116E-001                  4.2832797841108814E+000                  1.9199051965817696E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4352106921887335E+000                  1.3167340729178436E+000                  1.6886207614643634E+001                  6.2054635293776728E-001                  8.4939460717684934E-001                  6.9878891659710352E-001                  2.8065307271201984E-001                  4.3396710169668185E-005                  9.2864341085288071E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.4985206515501859E+000                  1.4006026497794029E+000                  1.3455897356772963E+000                  2.7144687797764093E+000                 -3.3712633393364705E+001                 -9.8200828141763823E-011                                        0                                        0                  2.5583333333333333E-002                  1.0000000000000000E+001                  4.6436302246991851E+004                  9.9987821408722777E-001                  1.0374852655791839E+001                  3.5011156620448298E+002                  1.7505578310224149E+002                  3.3281294822008047E+000                  4.5649791323248428E+000                 -1.9723288689669263E-001                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.5143956137869743E+053                 -6.9350239104997483E+036                 -6.5060007490910679E+036                 -4.2902316140867992E+035                 -2.0913554327483120E-123                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      20                  3.3395764619126613E+005                  5.0000000000000000E+000                 -9.8999999999999986E+001                  4.7570186640648240E+000                                     1022                  1.0886424261102261E+000                  2.1660725914733336E-001                  7.8130380498642182E-008                  9.9999999987337496E-001                  9.9999999960817676E-001                  2.2650259722157873E-001                  7.8130380498642182E-008                  9.9999999987337496E-001                  9.9999999960817676E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9495838064043114E+032                  1.9515050138244532E+033                  2.5120750374865491E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.5304383612879342E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7287676323901513E+000                 -3.3676013128494063E+001                 -9.8999999999999986E+001                  2.7287676323901513E+000                  4.2305499150663648E+000                  5.3492614721685038E+002                  2.7282938267498680E+000                  4.2630591969483039E-001                  4.2842475183594830E+000                  1.9241880729796107E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4358415090601548E+000                  1.3162914988558831E+000                  1.6886032266628419E+001                  6.2114053106521272E-001                  8.4877535243629443E-001                  6.9755040351443875E-001                  2.8190922316679201E-001                  4.4509792213694307E-005                  9.1467328047300425E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.4969342259996239E+000                  1.4020976088152830E+000                  1.3283513943045562E+000                  2.7111417358877707E+000                 -3.3676013128494063E+001                 -7.7413479566206421E-012                                        0                                        0                  4.8933333333333336E-002                  2.0000000000000000E+001                  3.3395764619126613E+005                  9.9912809914744116E-001                  1.0369663153544330E+001                  3.5019916198613839E+002                  1.7509958099306920E+002                  3.3264647515293544E+000                  4.5626957293452541E+000                 -1.9772549020099822E-001                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.5137666846715210E+053                 -6.9261204316537385E+036                 -6.4964706392900987E+036                 -4.2964979236363943E+035                 -2.1778868296393567E-124                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      30                  2.1142140237084269E+006                  5.0000000000000000E+000                 -9.8999999999999986E+001                  5.5488311245410724E+000                                     1011                  1.1754457152234126E+000                  2.3144774514545852E-001                  7.8130380498642182E-008                  9.9999999986556254E-001                  9.9999999959643293E-001                  2.4133011837016405E-001                  7.8130380498642182E-008                  9.9999999986556254E-001                  9.9999999959643293E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.0586932408032888E+032                  1.9628477888938658E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7294623101520279E+000                 -3.3710294494548776E+001                 -9.8999999999999986E+001                  2.7294623101520279E+000                  4.2284391874609817E+000                  5.3496655515511634E+002                  2.7283266318051473E+000                  4.3054377743323663E-001                  4.2757718028826703E+000                  1.8869995773107592E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4347552126088852E+000                  1.3089689277071870E+000                  1.6875179735382329E+001                  6.2483724327719736E-001                  8.4495742166669907E-001                  6.8991454003675934E-001                  2.8963985693230232E-001                  4.9881188213951015E-005                  8.3956858439601049E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.4871678020552639E+000                  1.4117786733880338E+000                  1.3032931149996752E+000                  2.7128708567021920E+000                 -3.3710294494548776E+001                  2.3039768846407231E-011                                        0                                        0                  7.4283333333333326E-002                  3.0000000000000000E+001                  2.1142140237084264E+006                  9.9440133308267664E-001                  1.0336932148154636E+001                  3.5075316152773371E+002                  1.7537658076386685E+002                  3.3159650338337294E+000                  4.5482939482750862E+000                 -1.8729330943038019E-001                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.5097962982467197E+053                 -7.2024020917697192E+036                 -6.7687943424179772E+036                 -4.3360774935174219E+035                 -4.0357633960836036E-116                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      40                  1.0217239034440041E+007                  5.0000000000000000E+000                 -9.8999999999999986E+001                  5.9726666508731929E+000                                      988                  1.1341150762581065E+000                  2.2650259722157862E-001                  7.8130380387619880E-008                  9.9999999984798438E-001                  9.9999999952356589E-001                  2.3144774514545841E-001                  7.8130380387619880E-008                  9.9999999984798438E-001                  9.9999999952356589E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1894465141803103E+032                  1.9302585147212802E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7438177919927220E+000                 -3.3751292630210500E+001                 -9.8999999999999986E+001                  2.7438177919927220E+000                  4.2215046992695981E+000                  5.5334697018095289E+002                  2.7429975363349004E+000                  4.5174820608087884E-001                  4.2333629455873858E+000                  1.7114449946064837E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4317240357920031E+000                  1.2902917470611950E+000                  1.6841280834762411E+001                  6.4344312915236435E-001                  8.2655893151891180E-001                  6.5311759200422426E-001                  3.2672542380999775E-001                  6.6192257049371743E-005                  6.1092574823826840E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.4421282956104151E+000                  1.4569878097354065E+000                  1.2279798685944283E+000                  2.7303699386476890E+000                 -3.3751292630210500E+001                  2.0596496344378588E-011                                        0                                        0                  9.9983333333333327E-002                  4.0000000000000000E+001                  1.0217239034440041E+007                  9.7005681438996616E-001                  1.0167526528487908E+001                  3.5366311673409780E+002                  1.7683155836704890E+002                  3.2616217235267069E+000                  4.4737547577598882E+000                 -1.3240984525400942E-001                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.4891455872751045E+053                 -8.8431344231175932E+036                 -8.3860572446242564E+036                 -4.5707717849333742E+035                 -2.8014604026710985E-066                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      50                  1.7843344760618463E+007                  5.0000000000000000E+000                 -6.2097834230458631E+001                  5.7614911764197307E+000                                      979                  1.0794385383298637E+000                  2.1495787060075655E-001                  7.8130380387619880E-008                  9.9999999982454690E-001                  9.9999999944414475E-001                  2.2320431673103258E-001                  7.8130380387619880E-008                  9.9999999982454690E-001                  9.9999999944414475E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3003025727537582E+032                  1.8892971775657654E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7603808634312119E+000                 -3.3625378287666713E+001                 -9.8999999999999986E+001                  2.7603808634312119E+000                  4.2164874671310155E+000                  5.7496749994559605E+002                  2.7596432968753772E+000                  4.7010555062828280E-001                  4.1966482564925780E+000                  1.5727085813800280E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4320015201247669E+000                  1.2820638545400014E+000                  1.6820407818118316E+001                  6.6388929805000751E-001                  8.0767759344489787E-001                  6.1535496327259409E-001                  3.6466505050730097E-001                  7.6584289426144561E-005                  4.7082677937070180E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.3982973470750166E+000                  1.5009617312792882E+000                  1.1691089079096058E+000                  2.7491053082242347E+000                 -3.3625378287666713E+001                  2.1271929124636770E-011                                        0                                        0                  1.2584999999999999E-001                  5.0000000000000000E+001                  1.7843344760618467E+007                  9.4241811479954540E-001                  9.9734699598614096E+000                  3.5708720176250546E+002                  1.7854360088125273E+002                  3.1993706816384129E+000                  4.3883690452431905E+000                 -7.7341493872450540E-002                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -5.8831363004280206E+001                 -6.2097834230458631E+001                 -6.2123410491682321E+001                 -9.8999999999999986E+001                 -6.3340506855854024E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.4652773385760542E+053                 -1.0895167762734088E+037                 -1.0405352064257468E+037                 -4.8981569847662056E+035                 -1.1898048757864512E-019                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      60                  2.1917438204177205E+007                  5.0000000000000000E+000                 -3.7616701962737444E+001                  5.4757269635368058E+000                                      981                  1.0578068575850985E+000                  2.1001027669605321E-001                  7.8130380498642182E-008                  9.9999999980696874E-001                  9.9999999939571083E-001                  2.1660725914733336E-001                  7.8130380498642182E-008                  9.9999999980696874E-001                  9.9999999939571083E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3526704603219493E+032                  1.8713743334382595E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7698764373282874E+000                 -3.3525316173696638E+001                 -1.2944289813551190E+001                  2.7698764373282878E+000                  4.2139052162679098E+000                  5.8770092758568978E+002                  2.7691563761747160E+000                  4.8002659200416536E-001                  4.1768061737408129E+000                  1.5024712613228236E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4327945758008989E+000                  1.2795175460244925E+000                  1.6811090042177224E+001                  6.7616857604317415E-001                  7.9689181658646535E-001                  5.9378343632154584E-001                  3.8631101502317772E-001                  8.1150345053703052E-005                  4.1194977288519603E-003                  3.4416106108119959E-003                  9.3604466091399760E-003                  3.3742121300492078E+000                  1.5251077606739087E+000                  1.1377008021873924E+000                  2.7596264437523974E+000                 -3.3525316173696638E+001                  2.2312119098316009E-011                                        0                                        0                  1.8873333333333334E-001                  6.0000000000000000E+001                  2.1917438204177208E+007                  9.2533337932850435E-001                  9.8525659996789408E+000                  3.5927148629926910E+002                  1.7963574314963455E+002                  3.1605861275104585E+000                  4.3351707904284318E+000                 -4.4437798266803823E-002                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -3.5946937143465711E+001                 -3.7616701962737444E+001                 -3.7642278223961135E+001                 -9.8999999999999986E+001                 -3.8859374588132830E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.4502890431648229E+053                 -1.2319603054471987E+037                 -1.1807240829249166E+037                 -5.1236222522282114E+035                 -3.5794471495484607E+005                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      70                  2.4080017131220546E+007                  5.0000000000000000E+000                 -2.4799058203736809E+001                  5.2094972254579810E+000                                      981                  1.0336355712139627E+000                  2.0671207133792635E-001                  7.8130380609664485E-008                  9.9999999979915621E-001                  9.9999999936808592E-001                  2.1330848205418018E-001                  7.8130380609664485E-008                  9.9999999979915621E-001                  9.9999999936808592E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3742538689532058E+032                  1.8638862660116262E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7750158741866899E+000                 -3.3465145932980739E+001                 -1.2467168558831528E+001                  2.7750158741866899E+000                  4.2125143919703074E+000                  5.9469032830561684E+002                  2.7742908754462130E+000                  4.8537549023511706E-001                  4.1661083772789098E+000                  1.4659136109886671E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4333549935874066E+000                  1.2785079711507714E+000                  1.6806427242083181E+001                  6.8304766576832787E-001                  7.9094152216898794E-001                  5.8188286195760486E-001                  3.9824691330063283E-001                  8.3382875438485642E-005                  3.8402304284906774E-003                  3.4416106108119955E-003                  9.3604466091399760E-003                  3.3612226103399241E+000                  1.5381257772908346E+000                  1.1204722872227457E+000                  2.7652862411985866E+000                 -3.3465145932980739E+001                  2.2739362134879024E-011                                        0                                        0                  2.1303333333333332E-001                  7.0000000000000000E+001                  2.4080017131220553E+007                  9.1547403494216217E-001                  9.7824556530176867E+000                  3.6055662772580052E+002                  1.8027831386290026E+002                  3.1380955611889818E+000                  4.3043219408025992E+000                 -2.5662706855444712E-002                 -1.0000000000000000E+000                  5.0000000000000000E+000                  1.0000000000000000E+001                 -2.3903684748970083E+001                 -2.4799058203736809E+001                 -2.4824634464960500E+001                 -9.8999999999999986E+001                 -2.6041730829132199E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206336E-001                  2.4415554137867996E+053                 -1.3200407774464105E+037                 -1.2674349087789985E+037                 -5.2605868667411968E+035                 -2.3432735254513638E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
                                      80                  2.5271056972862326E+007                  4.9999999999997842E+000                 -1.7777777060054127E+001                  4.9562114943438411E+000                                      980                  1.0252292903661178E+000                  2.0341555865230099E-001                  7.8130382274999022E-008                  9.9999999979134380E-001                  9.9999999935226080E-001                  2.1001027669606098E-001                  7.8130382274999022E-008                  9.9999999979134380E-001                  9.9999999935226080E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.3855326151745433E+032                  1.8595159125764486E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7778884964128436E+000                 -3.3430009175157650E+001                 -9.8999999999999986E+001                  2.7778884964128436E+000                  4.2117417707615816E+000                  5.9864108575521936E+002                  2.7771665198955087E+000                  4.8835855487721624E-001                  4.1601422479946928E+000                  1.4459132849023086E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4337014105913797E+000                  1.2780850343697998E+000                  1.6803965914778558E+001                  6.8694700243023354E-001                  7.8759123355573679E-001                  5.7518229237118024E-001                  4.0496585806365165E-001                  8.4560818004353818E-005                  3.6949829722402964E-003                  3.4416106108119968E-003                  9.3604466091399812E-003                  3.3540061976981317E+000                  1.5453568939546405E+000                  1.1108982573056054E+000                  2.7684367651076935E+000                 -3.3430009175157650E+001                  2.3235537078179729E-011                                        0                                        0                  2.3719999999999999E-001                  8.0000000000000000E+001                  2.5271056972862333E+007                  9.0978231324794112E-001                  9.7418669394801185E+000                  3.6130696223763823E+002                  1.8065348111880760E+002                  3.1250751840664126E+000                  4.2864627348501276E+000                 -1.4859701870649972E-002                 -1.0000000000000000E+000                  4.9999999999997842E+000                  1.0000000000000204E+001                 -1.7278723359709502E+001                 -1.7777777060054127E+001                 -1.7803353321277818E+001                 -9.8999999999999986E+001                 -1.9020449685449510E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  9.4280904158206258E-001                  2.4364849792781921E+053                 -1.3730504476185616E+037                 -1.3196302475949377E+037                 -5.3420200021168207E+035                 -2.4555630218994255E+025                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  2.0000000000000000E+000 
