                           1                            2                            3                            4 
              version_number             initial_don_mass             initial_acc_mass          initial_period_days 
                       10398      5.0000000000000000E+000      1.0000000000000000E+001      1.0000000000000000E+000 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2                    xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3311938769089948E+004          9.9996487059042838E-001          1.0375452085771672E+001          3.5010145240902449E+002          1.7505072620451224E+002          3.3283217722173082E+000          4.5652428840560724E+000         -1.9493539358065182E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5144682501121436E+053         -6.9906850103330673E+036         -6.5617342439362985E+036         -4.2895076639676839E+035         -1.4209297935931569E-119          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              10          4.6436302246991851E+004          9.9987821408722777E-001          1.0374852655791839E+001          3.5011156620448298E+002          1.7505578310224149E+002          3.3281294822008047E+000          4.5649791323248428E+000         -1.9723288689669263E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5143956137869743E+053         -6.9350239104997483E+036         -6.5060007490910679E+036         -4.2902316140867992E+035         -2.0913554327483120E-123          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              15          1.2886031837632469E+005          9.9966294189867921E-001          1.0373363476172999E+001          3.5013669596587704E+002          1.7506834798293852E+002          3.3276517710700362E+000          4.5643238869821054E+000         -1.9711885522010200E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5142151523770372E+053         -6.9386768315482351E+036         -6.5094740287446582E+036         -4.2920280280357673E+035         -1.3474596694064182E-123          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              20          3.3395764619126613E+005          9.9912809914744116E-001          1.0369663153544330E+001          3.5019916198613839E+002          1.7509958099306920E+002          3.3264647515293544E+000          4.5626957293452541E+000         -1.9772549020099822E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5137666846715210E+053         -6.9261204316537385E+036         -6.4964706392900987E+036         -4.2964979236363943E+035         -2.1778868296393567E-124          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              25          8.4430542893974122E+005          9.9779308476593065E-001          1.0360423941729774E+001          3.5035527737399360E+002          1.7517763868699680E+002          3.3235009221379879E+000          4.5586304369953883E+000         -1.9570593932849570E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5126465712144138E+053         -6.9807568462790647E+036         -6.5499906855172295E+036         -4.3076616076183496E+035         -2.8941283108178795E-123          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              30          2.1142140237084264E+006          9.9440133308267664E-001          1.0336932148154636E+001          3.5075316152773371E+002          1.7537658076386685E+002          3.3159650338337294E+000          4.5482939482750862E+000         -1.8729330943038019E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5097962982467197E+053         -7.2024020917697192E+036         -6.7687943424179772E+036         -4.3360774935174219E+035         -4.0357633960836036E-116          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              35          5.2741529782432411E+006          9.8546983788060283E-001          1.0274943078300762E+001          3.5180962319213472E+002          1.7590481159606736E+002          3.2960796766340090E+000          4.5210184948586756E+000         -1.6578158570752449E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.5022595414334899E+053         -7.7920257087420665E+036         -7.3508774910916333E+036         -4.4114821765043328E+035         -1.5598212322529066E-097          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              40          1.0217239034440041E+007          9.7005681438996616E-001          1.0167526528487908E+001          3.5366311673409780E+002          1.7683155836704890E+002          3.2616217235267069E+000          4.4737547577598882E+000         -1.3240984525400942E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4891455872751045E+053         -8.8431344231175932E+036         -8.3860572446242564E+036         -4.5707717849333742E+035         -2.8014604026710985E-066          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                              45          1.4531548150285060E+007          9.5505270116535956E-001          1.0062411919307237E+001          3.5550554671086974E+002          1.7775277335543487E+002          3.2279022056279238E+000          4.4275038842938086E+000         -1.0209214548853622E-001         -1.0000000000000000E+000          5.0000000000000000E+000          1.0000000000000000E+001         -7.7708751839410610E+001         -8.2314006699494072E+001         -8.2339582960717763E+001         -9.8999999999999986E+001         -8.3556679324889458E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          9.4280904158206336E-001          2.4762454328640825E+053         -9.9202294626619728E+036         -9.4460750431018817E+036         -4.7415441956009069E+035         -7.2664017109798016E-040          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
